CapitalCity{name=København, country=Denmark, population=495699}
CapitalCity{name=Dublin, country=Ireland, population=481854}
CapitalCity{name=Ciudad de Panamá, country=Panama, population=471373}
CapitalCity{name=Bratislava, country=Slovakia, population=448292}
CapitalCity{name=Skopje, country=Macedonia, population=444299}
CapitalCity{name=Macao, country=Macao, population=437500}
CapitalCity{name=Lilongwe, country=Malawi, population=435964}
CapitalCity{name=San Juan, country=Puerto Rico, population=434374}
CapitalCity{name=Asmara, country=Eritrea, population=431000}
CapitalCity{name=Niamey, country=Niger, population=420000}
CapitalCity{name=Libreville, country=Gabon, population=419000}
CapitalCity{name=San Salvador, country=El Salvador, population=415346}
CapitalCity{name=Tallinn, country=Estonia, population=403981}
CapitalCity{name=Abu Dhabi, country=United Arab Emirates, population=398695}
CapitalCity{name=Djibouti, country=Djibouti, population=383000}
CapitalCity{name=Lomé, country=Togo, population=375000}
CapitalCity{name=Sarajevo, country=Bosnia and Herzegovina, population=360000}
CapitalCity{name=Doha, country=Qatar, population=355000}
CapitalCity{name=Gaza, country=Palestine, population=353632}
CapitalCity{name=Abuja, country=Nigeria, population=350100}
CapitalCity{name=San José, country=Costa Rica, population=339131}
CapitalCity{name=Ottawa, country=Canada, population=335277}
CapitalCity{name=Canberra, country=Australia, population=322723}
CapitalCity{name=Astana, country=Kazakstan, population=311200}
CapitalCity{name=New Delhi, country=India, population=301297}
CapitalCity{name=Bujumbura, country=Burundi, population=300000}
CapitalCity{name=Maseru, country=Lesotho, population=297000}
CapitalCity{name=Kigali, country=Rwanda, population=286000}
CapitalCity{name=Ljubljana, country=Slovenia, population=270986}
CapitalCity{name=Tirana, country=Albania, population=270000}
CapitalCity{name=Georgetown, country=Guyana, population=254000}
CapitalCity{name=Port Moresby, country=Papua New Guinea, population=247000}
CapitalCity{name=Bissau, country=Guinea-Bissau, population=241000}
CapitalCity{name=Gaborone, country=Botswana, population=213017}
CapitalCity{name=Nicosia, country=Cyprus, population=195000}
CapitalCity{name=Porto-Novo, country=Benin, population=194000}
CapitalCity{name=Dodoma, country=Tanzania, population=189000}
CapitalCity{name=Nassau, country=Bahamas, population=172000}
CapitalCity{name=El-Aaiún, country=Western Sahara, population=169000}
CapitalCity{name=Windhoek, country=Namibia, population=169000}
CapitalCity{name=Wellington, country=New Zealand, population=166700}
CapitalCity{name=al-Manama, country=Bahrain, population=148000}
CapitalCity{name=Port-Louis, country=Mauritius, population=138200}
CapitalCity{name=Bruxelles [Brussel], country=Belgium, population=133859}
CapitalCity{name=Saint-Denis, country=Réunion, population=131480}
CapitalCity{name=Yamoussoukro, country=Côte d’Ivoire, population=130000}
CapitalCity{name=Bern, country=Switzerland, population=122700}
CapitalCity{name=Paramaribo, country=Suriname, population=112000}
CapitalCity{name=Reykjavík, country=Iceland, population=109184}
CapitalCity{name=Kingston, country=Jamaica, population=103962}
CapitalCity{name=Praia, country=Cape Verde, population=94800}
CapitalCity{name=Fort-de-France, country=Martinique, population=94050}
CapitalCity{name=Luxembourg [Luxemburg/Lëtzebuerg], country=Luxembourg, population=80700}
CapitalCity{name=Suva, country=Fiji Islands, population=77366}
CapitalCity{name=Nouméa, country=New Caledonia, population=76293}
CapitalCity{name=Male, country=Maldives, population=71000}
CapitalCity{name=Mbabane, country=Swaziland, population=61000}
CapitalCity{name=Masqat, country=Oman, population=51969}
CapitalCity{name=Cayenne, country=French Guiana, population=50699}
CapitalCity{name=Honiara, country=Solomon Islands, population=50100}
CapitalCity{name=São Tomé, country=Sao Tome and Principe, population=49541}
CapitalCity{name=Dili, country=East Timor, population=47900}
CapitalCity{name=Port-of-Spain, country=Trinidad and Tobago, population=43396}
CapitalCity{name=Banjul, country=Gambia, population=42326}
CapitalCity{name=Victoria, country=Seychelles, population=41000}
CapitalCity{name=Malabo, country=Equatorial Guinea, population=40000}
CapitalCity{name=Moroni, country=Comoros, population=36000}
CapitalCity{name=Apia, country=Samoa, population=35900}
CapitalCity{name=Port-Vila, country=Vanuatu, population=33700}
CapitalCity{name=Oranjestad, country=Aruba, population=29034}
CapitalCity{name=Kuwait, country=Kuwait, population=28859}
CapitalCity{name=Dalap-Uliga-Darrit, country=Marshall Islands, population=28000}
CapitalCity{name=Gibraltar, country=Gibraltar, population=27025}
CapitalCity{name=Papeete, country=French Polynesia, population=25553}
CapitalCity{name=Saint John´s, country=Antigua and Barbuda, population=24000}
CapitalCity{name=Nuku´alofa, country=Tonga, population=22400}
CapitalCity{name=Thimphu, country=Bhutan, population=22000}
CapitalCity{name=Bandar Seri Begawan, country=Brunei, population=21484}
CapitalCity{name=Andorra la Vella, country=Andorra, population=21189}
CapitalCity{name=George Town, country=Cayman Islands, population=19600}
CapitalCity{name=Kingstown, country=Saint Vincent and the Grenadines, population=17100}
CapitalCity{name=Roseau, country=Dominica, population=16243}
CapitalCity{name=Tórshavn, country=Faroe Islands, population=14542}
CapitalCity{name=Nuuk, country=Greenland, population=13445}
CapitalCity{name=Charlotte Amalie, country=Virgin Islands, U.S., population=13000}
CapitalCity{name=Basse-Terre, country=Guadeloupe, population=12433}
CapitalCity{name=Mamoutzou, country=Mayotte, population=12000}
CapitalCity{name=Koror, country=Palau, population=12000}
CapitalCity{name=Avarua, country=Cook Islands, population=11900}
CapitalCity{name=Basseterre, country=Saint Kitts and Nevis, population=11600}
CapitalCity{name=Garapan, country=Northern Mariana Islands, population=9200}
CapitalCity{name=Palikir, country=Micronesia, Federated States of, population=8600}
CapitalCity{name=Road Town, country=Virgin Islands, British, population=8000}
CapitalCity{name=Belmopan, country=Belize, population=7105}
CapitalCity{name=Valletta, country=Malta, population=7073}
CapitalCity{name=Bridgetown, country=Barbados, population=6070}
CapitalCity{name=Saint-Pierre, country=Saint Pierre and Miquelon, population=5808}
CapitalCity{name=Vaduz, country=Liechtenstein, population=5043}
CapitalCity{name=Cockburn Town, country=Turks and Caicos Islands, population=4800}
CapitalCity{name=Saint George´s, country=Grenada, population=4621}
CapitalCity{name=Funafuti, country=Tuvalu, population=4600}
CapitalCity{name=Willemstad, country=Netherlands Antilles, population=2345}
CapitalCity{name=Fagatogo, country=American Samoa, population=2323}
CapitalCity{name=Castries, country=Saint Lucia, population=2301}
CapitalCity{name=San Marino, country=San Marino, population=2294}
CapitalCity{name=Bairiki, country=Kiribati, population=2226}
CapitalCity{name=Plymouth, country=Montserrat, population=2000}
CapitalCity{name=Stanley, country=Falkland Islands, population=1636}
CapitalCity{name=Jamestown, country=Saint Helena, population=1500}
CapitalCity{name=Longyearbyen, country=Svalbard and Jan Mayen, population=1438}
CapitalCity{name=Monaco-Ville, country=Monaco, population=1234}
CapitalCity{name=Hamilton, country=Bermuda, population=1200}
CapitalCity{name=Agaña, country=Guam, population=1139}
CapitalCity{name=Mata-Utu, country=Wallis and Futuna, population=1137}
CapitalCity{name=Kingston, country=Norfolk Island, population=800}
CapitalCity{name=Flying Fish Cove, country=Christmas Island, population=700}
CapitalCity{name=Alofi, country=Niue, population=682}
CapitalCity{name=The Valley, country=Anguilla, population=595}
CapitalCity{name=Yaren, country=Nauru, population=559}
CapitalCity{name=Città del Vaticano, country=Holy See (Vatican City State), population=455}
CapitalCity{name=Fakaofo, country=Tokelau, population=300}
CapitalCity{name=West Island, country=Cocos (Keeling) Islands, population=167}
CapitalCity{name=Adamstown, country=Pitcairn, population=42}
