City{name=Chaozhou, country=China, district=Guangdong, population=313469}
City{name=Yangzhou, country=China, district=Jiangsu, population=312892}
City{name=Dongwan, country=China, district=Guangdong, population=308669}
City{name=Ma´anshan, country=China, district=Anhui, population=305421}
City{name=Foshan, country=China, district=Guangdong, population=303160}
City{name=Yueyang, country=China, district=Hunan, population=302800}
City{name=Xingtai, country=China, district=Hebei, population=302789}
City{name=Changde, country=China, district=Hunan, population=301276}
City{name=Shihezi, country=China, district=Xinxiang, population=299676}
City{name=Yancheng, country=China, district=Jiangsu, population=296831}
City{name=Jiujiang, country=China, district=Jiangxi, population=291187}
City{name=Dongying, country=China, district=Shandong, population=281728}
City{name=Shashi, country=China, district=Hubei, population=281352}
City{name=Xintai, country=China, district=Shandong, population=281248}
City{name=Jingdezhen, country=China, district=Jiangxi, population=281183}
City{name=Tongchuan, country=China, district=Shaanxi, population=280657}
City{name=Zhongshan, country=China, district=Guangdong, population=278829}
City{name=Shiyan, country=China, district=Hubei, population=273786}
City{name=Tieli, country=China, district=Heilongjiang, population=265683}
City{name=Jining, country=China, district=Shandong, population=265248}
City{name=Wuhai, country=China, district=Inner Mongolia, population=264081}
City{name=Mianyang, country=China, district=Sichuan, population=262947}
City{name=Luzhou, country=China, district=Sichuan, population=262892}
City{name=Zunyi, country=China, district=Guizhou, population=261862}
City{name=Shizuishan, country=China, district=Ningxia, population=257862}
City{name=Neijiang, country=China, district=Sichuan, population=256012}
City{name=Tongliao, country=China, district=Inner Mongolia, population=255129}
City{name=Tieling, country=China, district=Liaoning, population=254842}
City{name=Wafangdian, country=China, district=Liaoning, population=251733}
City{name=Anqing, country=China, district=Anhui, population=250718}
City{name=Shaoyang, country=China, district=Hunan, population=247227}
City{name=Laiwu, country=China, district=Shandong, population=246833}
City{name=Chengde, country=China, district=Hebei, population=246799}
City{name=Tianshui, country=China, district=Gansu, population=244974}
City{name=Nanyang, country=China, district=Henan, population=243303}
City{name=Cangzhou, country=China, district=Hebei, population=242708}
City{name=Yibin, country=China, district=Sichuan, population=241019}
City{name=Huaiyin, country=China, district=Jiangsu, population=239675}
City{name=Dunhua, country=China, district=Jilin, population=235100}
City{name=Yanji, country=China, district=Jilin, population=230892}
City{name=Jiangmen, country=China, district=Guangdong, population=230587}
City{name=Tongling, country=China, district=Anhui, population=228017}
City{name=Suihua, country=China, district=Heilongjiang, population=227881}
City{name=Gongziling, country=China, district=Jilin, population=226569}
City{name=Xiantao, country=China, district=Hubei, population=222884}
City{name=Chaoyang, country=China, district=Liaoning, population=222394}
City{name=Ganzhou, country=China, district=Jiangxi, population=220129}
City{name=Huzhou, country=China, district=Zhejiang, population=218071}
City{name=Baicheng, country=China, district=Jilin, population=217987}
City{name=Shangzi, country=China, district=Heilongjiang, population=215373}
City{name=Yangjiang, country=China, district=Guangdong, population=215196}
City{name=Qitaihe, country=China, district=Heilongjiang, population=214957}
City{name=Gejiu, country=China, district=Yunnan, population=214294}
City{name=Jiangyin, country=China, district=Jiangsu, population=213659}
City{name=Hebi, country=China, district=Henan, population=212976}
