City{name=Kofu, country=Japan, district=Yamanashi, population=199753}
City{name=Kushiro, country=Japan, district=Hokkaido, population=197608}
City{name=Kishiwada, country=Japan, district=Osaka, population=197276}
City{name=Hitachi, country=Japan, district=Ibaragi, population=196622}
City{name=Nagaoka, country=Japan, district=Niigata, population=192407}
City{name=Itami, country=Japan, district=Hyogo, population=190886}
City{name=Uji, country=Japan, district=Kyoto, population=188735}
City{name=Suzuka, country=Japan, district=Mie, population=184061}
City{name=Hirosaki, country=Japan, district=Aomori, population=177522}
City{name=Ube, country=Japan, district=Yamaguchi, population=175206}
City{name=Kodaira, country=Japan, district=Tokyo-to, population=174984}
City{name=Takaoka, country=Japan, district=Toyama, population=174380}
City{name=Obihiro, country=Japan, district=Hokkaido, population=173685}
City{name=Tomakomai, country=Japan, district=Hokkaido, population=171958}
City{name=Saga, country=Japan, district=Saga, population=170034}
City{name=Sakura, country=Japan, district=Chiba, population=168072}
City{name=Kamakura, country=Japan, district=Kanagawa, population=167661}
City{name=Mitaka, country=Japan, district=Tokyo-to, population=167268}
City{name=Izumi, country=Japan, district=Osaka, population=166979}
City{name=Hino, country=Japan, district=Tokyo-to, population=166770}
City{name=Hadano, country=Japan, district=Kanagawa, population=166512}
City{name=Ashikaga, country=Japan, district=Tochigi, population=165243}
City{name=Tsu, country=Japan, district=Mie, population=164543}
City{name=Sayama, country=Japan, district=Saitama, population=162472}
City{name=Yachiyo, country=Japan, district=Chiba, population=161222}
City{name=Tsukuba, country=Japan, district=Ibaragi, population=160768}
City{name=Tachikawa, country=Japan, district=Tokyo-to, population=159430}
City{name=Kumagaya, country=Japan, district=Saitama, population=157171}
City{name=Moriguchi, country=Japan, district=Osaka, population=155941}
City{name=Otaru, country=Japan, district=Hokkaido, population=155784}
City{name=Anjo, country=Japan, district=Aichi, population=153823}
City{name=Narashino, country=Japan, district=Chiba, population=152849}
City{name=Oyama, country=Japan, district=Tochigi, population=152820}
City{name=Ogaki, country=Japan, district=Gifu, population=151758}
City{name=Matsue, country=Japan, district=Shimane, population=149821}
City{name=Kawanishi, country=Japan, district=Hyogo, population=149794}
City{name=Hitachinaka, country=Japan, district=Tokyo-to, population=148006}
City{name=Niiza, country=Japan, district=Saitama, population=147744}
