City{name=Minatitlán, country=Mexico, district=Veracruz, population=152983}
City{name=Poza Rica de Hidalgo, country=Mexico, district=Veracruz, population=152678}
City{name=Ciudad Valles, country=Mexico, district=San Luis Potosí, population=146411}
City{name=Navolato, country=Mexico, district=Sinaloa, population=145396}
City{name=San Luis Río Colorado, country=Mexico, district=Sonora, population=145276}
City{name=Pénjamo, country=Mexico, district=Guanajuato, population=143927}
City{name=San Andrés Tuxtla, country=Mexico, district=Veracruz, population=142251}
City{name=Guanajuato, country=Mexico, district=Guanajuato, population=141215}
City{name=Navojoa, country=Mexico, district=Sonora, population=140495}
City{name=Zitácuaro, country=Mexico, district=Michoacán de Ocampo, population=137970}
City{name=Boca del Río, country=Mexico, district=Veracruz-Llave, population=135721}
City{name=Allende, country=Mexico, district=Guanajuato, population=134645}
City{name=Silao, country=Mexico, district=Guanajuato, population=134037}
City{name=Macuspana, country=Mexico, district=Tabasco, population=133795}
City{name=San Juan Bautista Tuxtepec, country=Mexico, district=Oaxaca, population=133675}
City{name=San Cristóbal de las Casas, country=Mexico, district=Chiapas, population=132317}
City{name=Valle de Santiago, country=Mexico, district=Guanajuato, population=130557}
City{name=Guaymas, country=Mexico, district=Sonora, population=130108}
City{name=Colima, country=Mexico, district=Colima, population=129454}
City{name=Dolores Hidalgo, country=Mexico, district=Guanajuato, population=128675}
City{name=Lagos de Moreno, country=Mexico, district=Jalisco, population=127949}
City{name=Piedras Negras, country=Mexico, district=Coahuila de Zaragoza, population=127898}
City{name=Altamira, country=Mexico, district=Tamaulipas, population=127490}
City{name=Túxpam, country=Mexico, district=Veracruz, population=126475}
City{name=San Pedro Garza García, country=Mexico, district=Nuevo León, population=126147}
City{name=Cuauhtémoc, country=Mexico, district=Chihuahua, population=124279}
City{name=Manzanillo, country=Mexico, district=Colima, population=124014}
City{name=Iguala de la Independencia, country=Mexico, district=Guerrero, population=123883}
City{name=Zacatecas, country=Mexico, district=Zacatecas, population=123700}
City{name=Tlajomulco de Zúñiga, country=Mexico, district=Jalisco, population=123220}
City{name=Tulancingo de Bravo, country=Mexico, district=Hidalgo, population=121946}
City{name=Zinacantepec, country=Mexico, district=México, population=121715}
City{name=San Martín Texmelucan, country=Mexico, district=Puebla, population=121093}
City{name=Tepatitlán de Morelos, country=Mexico, district=Jalisco, population=118948}
City{name=Martínez de la Torre, country=Mexico, district=Veracruz, population=118815}
City{name=Orizaba, country=Mexico, district=Veracruz, population=118488}
City{name=Apatzingán, country=Mexico, district=Michoacán de Ocampo, population=117849}
City{name=Atlixco, country=Mexico, district=Puebla, population=117019}
City{name=Delicias, country=Mexico, district=Chihuahua, population=116132}
City{name=Ixtlahuaca, country=Mexico, district=México, population=115548}
City{name=El Mante, country=Mexico, district=Tamaulipas, population=112453}
City{name=Lerdo, country=Mexico, district=Durango, population=112272}
City{name=Almoloya de Juárez, country=Mexico, district=México, population=110550}
City{name=Acámbaro, country=Mexico, district=Guanajuato, population=110487}
City{name=Acuña, country=Mexico, district=Coahuila de Zaragoza, population=110388}
City{name=Guadalupe, country=Mexico, district=Zacatecas, population=108881}
City{name=Huejutla de Reyes, country=Mexico, district=Hidalgo, population=108017}
City{name=Hidalgo, country=Mexico, district=Michoacán de Ocampo, population=106198}
City{name=Los Cabos, country=Mexico, district=Baja California Sur, population=105199}
City{name=Comitán de Domínguez, country=Mexico, district=Chiapas, population=104986}
City{name=Cunduacán, country=Mexico, district=Tabasco, population=104164}
City{name=Río Bravo, country=Mexico, district=Tamaulipas, population=103901}
City{name=Temapache, country=Mexico, district=Veracruz, population=102824}
City{name=Chilapa de Alvarez, country=Mexico, district=Guerrero, population=102716}
City{name=Hidalgo del Parral, country=Mexico, district=Chihuahua, population=100881}
City{name=San Francisco del Rincón, country=Mexico, district=Guanajuato, population=100149}
City{name=Taxco de Alarcón, country=Mexico, district=Guerrero, population=99907}
City{name=Zumpango, country=Mexico, district=México, population=99781}
City{name=San Pedro Cholula, country=Mexico, district=Puebla, population=99734}
City{name=Lerma, country=Mexico, district=México, population=99714}
City{name=Tecomán, country=Mexico, district=Colima, population=99296}
City{name=Las Margaritas, country=Mexico, district=Chiapas, population=97389}
City{name=Cosoleacaque, country=Mexico, district=Veracruz, population=97199}
City{name=San Luis de la Paz, country=Mexico, district=Guanajuato, population=96763}
City{name=José Azueta, country=Mexico, district=Guerrero, population=95448}
City{name=Santiago Ixcuintla, country=Mexico, district=Nayarit, population=95311}
City{name=San Felipe, country=Mexico, district=Guanajuato, population=95305}
City{name=Tejupilco, country=Mexico, district=México, population=94934}
City{name=Tantoyuca, country=Mexico, district=Veracruz, population=94709}
City{name=Salvatierra, country=Mexico, district=Guanajuato, population=94322}
City{name=Tultepec, country=Mexico, district=México, population=93364}
City{name=Temixco, country=Mexico, district=Morelos, population=92686}
City{name=Matamoros, country=Mexico, district=Coahuila de Zaragoza, population=91858}
City{name=Pánuco, country=Mexico, district=Veracruz, population=90551}
City{name=El Fuerte, country=Mexico, district=Sinaloa, population=89556}
City{name=Tierra Blanca, country=Mexico, district=Veracruz, population=89143}
