City{name=Nizamabad, country=India, district=Andhra Pradesh, population=241034}
City{name=Muzaffarnagar, country=India, district=Uttar Pradesh, population=240609}
City{name=Patiala, country=India, district=Punjab, population=238368}
City{name=Shahjahanpur, country=India, district=Uttar Pradesh, population=237713}
City{name=Kurnool, country=India, district=Andhra Pradesh, population=236800}
City{name=Tiruppur (Tirupper), country=India, district=Tamil Nadu, population=235661}
City{name=Rohtak, country=India, district=Haryana, population=233400}
City{name=South Dum Dum, country=India, district=West Bengali, population=232811}
City{name=Mathura, country=India, district=Uttar Pradesh, population=226691}
City{name=Chandrapur, country=India, district=Maharashtra, population=226105}
City{name=Barahanagar (Baranagar), country=India, district=West Bengali, population=224821}
City{name=Darbhanga, country=India, district=Bihar, population=218391}
City{name=Siliguri (Shiliguri), country=India, district=West Bengali, population=216950}
City{name=Raurkela, country=India, district=Orissa, population=215489}
City{name=Ambattur, country=India, district=Tamil Nadu, population=215424}
City{name=Panipat, country=India, district=Haryana, population=215218}
City{name=Firozabad, country=India, district=Uttar Pradesh, population=215128}
City{name=Ichalkaranji, country=India, district=Maharashtra, population=214950}
City{name=Jammu, country=India, district=Jammu and Kashmir, population=214737}
City{name=Ramagundam, country=India, district=Andhra Pradesh, population=214384}
City{name=Eluru, country=India, district=Andhra Pradesh, population=212866}
City{name=Brahmapur, country=India, district=Orissa, population=210418}
City{name=Alwar, country=India, district=Rajasthan, population=205086}
City{name=Pondicherry, country=India, district=Pondicherry, population=203065}
City{name=Thanjavur, country=India, district=Tamil Nadu, population=202013}
City{name=Bihar Sharif, country=India, district=Bihar, population=201323}
City{name=Tuticorin, country=India, district=Tamil Nadu, population=199854}
City{name=Imphal, country=India, district=Manipur, population=198535}
City{name=Latur, country=India, district=Maharashtra, population=197408}
City{name=Sagar, country=India, district=Madhya Pradesh, population=195346}
City{name=Farrukhabad-cum-Fatehgarh, country=India, district=Uttar Pradesh, population=194567}
City{name=Sangli, country=India, district=Maharashtra, population=193197}
City{name=Parbhani, country=India, district=Maharashtra, population=190255}
City{name=Nagar Coil, country=India, district=Tamil Nadu, population=190084}
City{name=Bijapur, country=India, district=Karnataka, population=186939}
City{name=Kukatpalle, country=India, district=Andhra Pradesh, population=185378}
City{name=Bally, country=India, district=West Bengali, population=184474}
City{name=Bhilwara, country=India, district=Rajasthan, population=183965}
City{name=Ratlam, country=India, district=Madhya Pradesh, population=183375}
City{name=Avadi, country=India, district=Tamil Nadu, population=183215}
City{name=Dindigul, country=India, district=Tamil Nadu, population=182477}
City{name=Ahmadnagar, country=India, district=Maharashtra, population=181339}
City{name=Bilaspur, country=India, district=Chhatisgarh, population=179833}
City{name=Shimoga, country=India, district=Karnataka, population=179258}
City{name=Kharagpur, country=India, district=West Bengali, population=177989}
City{name=Mira Bhayandar, country=India, district=Maharashtra, population=175372}
City{name=Vellore, country=India, district=Tamil Nadu, population=175061}
City{name=Jalna, country=India, district=Maharashtra, population=174985}
City{name=Burnpur, country=India, district=West Bengali, population=174933}
City{name=Anantapur, country=India, district=Andhra Pradesh, population=174924}
City{name=Allappuzha (Alleppey), country=India, district=Kerala, population=174666}
City{name=Tirupati, country=India, district=Andhra Pradesh, population=174369}
City{name=Karnal, country=India, district=Haryana, population=173751}
City{name=Burhanpur, country=India, district=Madhya Pradesh, population=172710}
City{name=Hisar (Hissar), country=India, district=Haryana, population=172677}
City{name=Tiruvottiyur, country=India, district=Tamil Nadu, population=172562}
City{name=Mirzapur-cum-Vindhyachal, country=India, district=Uttar Pradesh, population=169336}
City{name=Secunderabad, country=India, district=Andhra Pradesh, population=167461}
City{name=Nadiad, country=India, district=Gujarat, population=167051}
City{name=Dewas, country=India, district=Madhya Pradesh, population=164364}
City{name=Murwara (Katni), country=India, district=Madhya Pradesh, population=163431}
City{name=Ganganagar, country=India, district=Rajasthan, population=161482}
City{name=Vizianagaram, country=India, district=Andhra Pradesh, population=160359}
City{name=Erode, country=India, district=Tamil Nadu, population=159232}
City{name=Machilipatnam (Masulipatam), country=India, district=Andhra Pradesh, population=159110}
City{name=Bhatinda (Bathinda), country=India, district=Punjab, population=159042}
City{name=Raichur, country=India, district=Karnataka, population=157551}
City{name=Agartala, country=India, district=Tripura, population=157358}
City{name=Arrah (Ara), country=India, district=Bihar, population=157082}
City{name=Satna, country=India, district=Madhya Pradesh, population=156630}
City{name=Lalbahadur Nagar, country=India, district=Andhra Pradesh, population=155500}
City{name=Aizawl, country=India, district=Mizoram, population=155240}
City{name=Uluberia, country=India, district=West Bengali, population=155172}
City{name=Katihar, country=India, district=Bihar, population=154367}
City{name=Cuddalore, country=India, district=Tamil Nadu, population=153086}
City{name=Hugli-Chinsurah, country=India, district=West Bengali, population=151806}
City{name=Dhanbad, country=India, district=Jharkhand, population=151789}
City{name=Raiganj, country=India, district=West Bengali, population=151045}
City{name=Sambhal, country=India, district=Uttar Pradesh, population=150869}
City{name=Durg, country=India, district=Chhatisgarh, population=150645}
City{name=Munger (Monghyr), country=India, district=Bihar, population=150112}
City{name=Kanchipuram, country=India, district=Tamil Nadu, population=150100}
City{name=North Dum Dum, country=India, district=West Bengali, population=149965}
City{name=Karimnagar, country=India, district=Andhra Pradesh, population=148583}
City{name=Bharatpur, country=India, district=Rajasthan, population=148519}
City{name=Sikar, country=India, district=Rajasthan, population=148272}
City{name=Hardwar (Haridwar), country=India, district=Uttaranchal, population=147305}
City{name=Dabgram, country=India, district=West Bengali, population=147217}
City{name=Morena, country=India, district=Madhya Pradesh, population=147124}
City{name=Noida, country=India, district=Uttar Pradesh, population=146514}
City{name=Hapur, country=India, district=Uttar Pradesh, population=146262}
City{name=Bhusawal, country=India, district=Maharashtra, population=145143}
City{name=Khandwa, country=India, district=Madhya Pradesh, population=145133}
City{name=Yamuna Nagar, country=India, district=Haryana, population=144346}
City{name=Sonipat (Sonepat), country=India, district=Haryana, population=143922}
City{name=Tenali, country=India, district=Andhra Pradesh, population=143726}
