City{name=Iwo, country=Nigeria, district=Oyo & Osun, population=362000}
City{name=Luxor, country=Egypt, district=Luxor, population=360503}
City{name=Ado-Ekiti, country=Nigeria, district=Ondo & Ekiti, population=359400}
City{name=Abuja, country=Nigeria, district=Federal Capital Dist, population=350100}
City{name=Asyut, country=Egypt, district=Asyut, population=343498}
City{name=Kaduna, country=Nigeria, district=Kaduna, population=342200}
City{name=Randburg, country=South Africa, district=Gauteng, population=341288}
City{name=Umlazi, country=South Africa, district=KwaZulu-Natal, population=339233}
City{name=Bloemfontein, country=South Africa, district=Free State, population=334341}
City{name=Mushin, country=Nigeria, district=Lagos, population=333200}
City{name=Bouaké, country=Côte d’Ivoire, district=Bouaké, population=329850}
City{name=Ndola, country=Zambia, district=Copperbelt, population=329200}
City{name=Vereeniging, country=South Africa, district=Gauteng, population=328535}
City{name=Maiduguri, country=Nigeria, district=Borno & Yobe, population=320000}
City{name=Enugu, country=Nigeria, district=Anambra & Enugu & Eb, population=316100}
City{name=Port Sudan, country=Sudan, district=al-Bahr al-Ahmar, population=308195}
City{name=Ede, country=Nigeria, district=Oyo & Osun, population=307100}
City{name=Nampula, country=Mozambique, district=Nampula, population=303346}
City{name=Bobo-Dioulasso, country=Burkina Faso, district=Houet, population=300000}
City{name=Bujumbura, country=Burundi, district=Bujumbura, population=300000}
City{name=Likasi, country=Congo, The Democratic Republic of the, district=Shaba, population=299118}
City{name=Aba, country=Nigeria, district=Imo & Abia, population=298900}
City{name=Maseru, country=Lesotho, district=Maseru, population=297000}
City{name=Ife, country=Nigeria, district=Oyo & Osun, population=296800}
City{name=Kénitra, country=Morocco, district=Gharb-Chrarda-Béni H, population=292600}
City{name=Kitwe, country=Zambia, district=Copperbelt, population=288600}
City{name=Kigali, country=Rwanda, district=Kigali, population=286000}
City{name=Wonderboom, country=South Africa, district=Gauteng, population=283289}
City{name=Roodepoort, country=South Africa, district=Gauteng, population=279340}
City{name=Tétouan, country=Morocco, district=Tanger-Tétouan, population=277516}
City{name=Bahtim, country=Egypt, district=al-Qalyubiya, population=275807}
City{name=Chitungwiza, country=Zimbabwe, district=Harare, population=274912}
City{name=Zagazig, country=Egypt, district=al-Sharqiya, population=267351}
City{name=Ila, country=Nigeria, district=Oyo & Osun, population=264000}
City{name=Boksburg, country=South Africa, district=Gauteng, population=262648}
City{name=Safi, country=Morocco, district=Doukkala-Abda, population=262300}
City{name=Klerksdorp, country=South Africa, district=North West, population=261911}
City{name=al-Faiyum, country=Egypt, district=al-Faiyum, population=260964}
City{name=Sfax, country=Tunisia, district=Sfax, population=257800}
City{name=Oyo, country=Nigeria, district=Oyo & Osun, population=256400}
City{name=Ismailia, country=Egypt, district=Ismailia, population=254477}
City{name=Thiès, country=Senegal, district=Thiès, population=248000}
City{name=Ikerre, country=Nigeria, district=Ondo & Ekiti, population=244600}
City{name=Soshanguve, country=South Africa, district=Gauteng, population=242727}
City{name=Bissau, country=Guinea-Bissau, district=Bissau, population=241000}
City{name=Kassala, country=Sudan, district=Kassala, population=234622}
City{name=Kafr al-Dawwar, country=Egypt, district=al-Buhayra, population=231978}
