City{name=Monza, country=Italy, district=Lombardia, population=119516}
City{name=Bergamo, country=Italy, district=Lombardia, population=117837}
City{name=Herakleion, country=Greece, district=Crete, population=116178}
City{name=Pescara, country=Italy, district=Abruzzit, population=115698}
City{name=Maribor, country=Slovenia, district=Podravska, population=115532}
City{name=Kallithea, country=Greece, district=Attika, population=114233}
City{name=Latina, country=Italy, district=Latium, population=114099}
City{name=Larisa, country=Greece, district=Thessalia, population=113090}
City{name=Tarragona, country=Spain, district=Katalonia, population=113016}
City{name=Lleida (Lérida), country=Spain, district=Katalonia, population=112207}
City{name=Vicenza, country=Italy, district=Veneto, population=109738}
City{name=Jaén, country=Spain, district=Andalusia, population=109247}
City{name=Ourense (Orense), country=Spain, district=Galicia, population=109120}
City{name=Terni, country=Italy, district=Umbria, population=107770}
City{name=Forlì, country=Italy, district=Emilia-Romagna, population=107475}
City{name=Trento, country=Italy, district=Trentino-Alto Adige, population=104906}
City{name=Osijek, country=Croatia, district=Osijek-Baranja, population=104761}
City{name=Mataró, country=Spain, district=Katalonia, population=104095}
City{name=Algeciras, country=Spain, district=Andalusia, population=103106}
City{name=Novara, country=Italy, district=Piemonte, population=102037}
City{name=Marbella, country=Spain, district=Andalusia, population=101144}
City{name=Subotica, country=Yugoslavia, district=Vojvodina, population=100386}
City{name=Piacenza, country=Italy, district=Emilia-Romagna, population=98384}
City{name=Ancona, country=Italy, district=Marche, population=98329}
City{name=Barakaldo, country=Spain, district=Baskimaa, population=98212}
City{name=Lecce, country=Italy, district=Apulia, population=98208}
City{name=Bolzano, country=Italy, district=Trentino-Alto Adige, population=97232}
City{name=Catanzaro, country=Italy, district=Calabria, population=96700}
City{name=Coímbra, country=Portugal, district=Coímbra, population=96100}
City{name=Zenica, country=Bosnia and Herzegovina, district=Federaatio, population=96027}
City{name=La Spezia, country=Italy, district=Liguria, population=95504}
City{name=Udine, country=Italy, district=Friuli-Venezia Giuli, population=94932}
City{name=Dos Hermanas, country=Spain, district=Andalusia, population=94591}
City{name=Torre del Greco, country=Italy, district=Campania, population=94505}
City{name=Andria, country=Italy, district=Apulia, population=94443}
City{name=Santiago de Compostela, country=Spain, district=Galicia, population=93745}
City{name=Brindisi, country=Italy, district=Apulia, population=93454}
City{name=Giugliano in Campania, country=Italy, district=Campania, population=93286}
City{name=Pisa, country=Italy, district=Toscana, population=92379}
City{name=Prizren, country=Yugoslavia, district=Kosovo and Metohija, population=92303}
City{name=Torrejón de Ardoz, country=Spain, district=Madrid, population=92262}
City{name=Barletta, country=Italy, district=Apulia, population=91904}
City{name=Arezzo, country=Italy, district=Toscana, population=91729}
City{name=Braga, country=Portugal, district=Braga, population=90535}
City{name=Alessandria, country=Italy, district=Piemonte, population=90289}
City{name=Cesena, country=Italy, district=Emilia-Romagna, population=89852}
City{name=Pesaro, country=Italy, district=Marche, population=88987}
City{name=Gibraltar, country=Gibraltar, district=–, population=27025}
City{name=Birkirkara, country=Malta, district=Outer Harbour, population=21445}
City{name=Andorra la Vella, country=Andorra, district=Andorra la Vella, population=21189}
City{name=Valletta, country=Malta, district=Inner Harbour, population=7073}
City{name=Serravalle, country=San Marino, district=Serravalle/Dogano, population=4802}
City{name=San Marino, country=San Marino, district=San Marino, population=2294}
City{name=Città del Vaticano, country=Holy See (Vatican City State), district=–, population=455}
