City{name=Hegang, country=China, district=Heilongjiang, population=520000}
City{name=Koyang, country=South Korea, district=Kyonggi, population=518282}
City{name=Higashiosaka, country=Japan, district=Osaka, population=517785}
City{name=Hachioji, country=Japan, district=Tokyo-to, population=513451}
City{name=Ansan, country=South Korea, district=Kyonggi, population=510314}
City{name=Kaifeng, country=China, district=Henan, population=510000}
City{name=Pohang, country=South Korea, district=Kyongsangbuk, population=508899}
City{name=Niigata, country=Japan, district=Niigata, population=497464}
City{name=Jiamusi, country=China, district=Heilongjiang, population=493409}
City{name=Liaoyang, country=China, district=Liaoning, population=492559}
City{name=Hengyang, country=China, district=Hunan, population=487148}
City{name=Baoding, country=China, district=Hebei, population=483155}
City{name=Hunjiang, country=China, district=Jilin, population=482043}
City{name=Chang-won, country=South Korea, district=Kyongsangnam, population=481694}
City{name=Amagasaki, country=Japan, district=Hyogo, population=481434}
City{name=Himeji, country=Japan, district=Hyogo, population=475167}
City{name=Shizuoka, country=Japan, district=Shizuoka, population=473854}
City{name=Xinxiang, country=China, district=Henan, population=473762}
City{name=Urawa, country=Japan, district=Saitama, population=469675}
City{name=Matsuyama, country=Japan, district=Ehime, population=466133}
City{name=Matsudo, country=Japan, district=Chiba, population=461126}
City{name=Huangshi, country=China, district=Hubei, population=457601}
City{name=Kanazawa, country=Japan, district=Ishikawa, population=455386}
City{name=Haikou, country=China, district=Hainan, population=454300}
City{name=Kawaguchi, country=Japan, district=Saitama, population=452155}
City{name=Yantai, country=China, district=Shandong, population=452127}
City{name=Bengbu, country=China, district=Anhui, population=449245}
City{name=Xiangtan, country=China, district=Hunan, population=441968}
City{name=Ichikawa, country=Japan, district=Chiba, population=441893}
City{name=Omiya, country=Japan, district=Saitama, population=441649}
City{name=Masan, country=South Korea, district=Kyongsangnam, population=441242}
City{name=Utsunomiya, country=Japan, district=Tochigi, population=440353}
City{name=Macao, country=Macao, district=Macau, population=437500}
City{name=Oita, country=Japan, district=Oita, population=433401}
City{name=Nagasaki, country=Japan, district=Nagasaki, population=432759}
City{name=Yokosuka, country=Japan, district=Kanagawa, population=430200}
City{name=Weifang, country=China, district=Shandong, population=428522}
City{name=Wuhu, country=China, district=Anhui, population=425740}
City{name=Pingxiang, country=China, district=Jiangxi, population=425579}
City{name=Kurashiki, country=Japan, district=Okayama, population=425103}
City{name=Yingkou, country=China, district=Liaoning, population=421589}
City{name=Anyang, country=China, district=Henan, population=420332}
City{name=Panzhihua, country=China, district=Sichuan, population=415466}
City{name=Pingdingshan, country=China, district=Henan, population=410775}
City{name=Xiangfan, country=China, district=Hubei, population=410407}
City{name=Zhuzhou, country=China, district=Hunan, population=409924}
City{name=Jiaozuo, country=China, district=Henan, population=409100}
City{name=Gifu, country=Japan, district=Gifu, population=408007}
City{name=Hirakata, country=Japan, district=Osaka, population=403151}
City{name=Wenzhou, country=China, district=Zhejiang, population=401871}
City{name=Zhangjiang, country=China, district=Guangdong, population=400997}
City{name=Nishinomiya, country=Japan, district=Hyogo, population=397618}
City{name=Toyonaka, country=Japan, district=Osaka, population=396689}
City{name=Zigong, country=China, district=Sichuan, population=393184}
City{name=Chungho, country=Taiwan, district=Taipei, population=392176}
City{name=Wakayama, country=Japan, district=Wakayama, population=391233}
City{name=Shuangyashan, country=China, district=Heilongjiang, population=386081}
City{name=Keelung (Chilung), country=Taiwan, district=Keelung, population=385201}
City{name=Zaozhuang, country=China, district=Shandong, population=380846}
City{name=Sanchung, country=Taiwan, district=Taipei, population=380084}
City{name=Yakeshi, country=China, district=Inner Mongolia, population=377869}
City{name=Fukuyama, country=Japan, district=Hiroshima, population=376921}
City{name=Fujisawa, country=Japan, district=Kanagawa, population=372840}
City{name=Yichang, country=China, district=Hubei, population=371601}
City{name=Zhenjiang, country=China, district=Jiangsu, population=368316}
City{name=Huaibei, country=China, district=Anhui, population=366549}
City{name=Hsinchuang, country=Taiwan, district=Taipei, population=365048}
City{name=Qinhuangdao, country=China, district=Hebei, population=364972}
