City{name=Osmaniye, country=Turkey, district=Osmaniye, population=146003}
City{name=Çorum, country=Turkey, district=Çorum, population=145495}
City{name=Kütahya, country=Turkey, district=Kütahya, population=144761}
City{name=al-Qamishliya, country=Syria, district=al-Hasaka, population=144286}
City{name=Hatay (Antakya), country=Turkey, district=Hatay, population=143982}
City{name=Kirikkale, country=Turkey, district=Kirikkale, population=142044}
City{name=al-Khubar, country=Saudi Arabia, district=al-Sharqiya, population=141700}
City{name=Adiyaman, country=Turkey, district=Adiyaman, population=141529}
City{name=Jubayl, country=Saudi Arabia, district=al-Sharqiya, population=140800}
City{name=Dayr al-Zawr, country=Syria, district=Dayr al-Zawr, population=140459}
City{name=Jaramana, country=Syria, district=Damaskos, population=138469}
City{name=Trabzon, country=Turkey, district=Trabzon, population=138234}
City{name=Hafar al-Batin, country=Saudi Arabia, district=al-Sharqiya, population=137800}
City{name=Batumi, country=Georgia, district=Adzaria [Atšara], population=137700}
City{name=al-Rusayfa, country=Jordan, district=al-Zarqa, population=137247}
City{name=Bat Yam, country=Israel, district=Tel Aviv, population=137000}
City{name=Bene Beraq, country=Israel, district=Tel Aviv, population=133900}
City{name=Ordu, country=Turkey, district=Ordu, population=133642}
City{name=Salala, country=Oman, district=Zufar, population=131813}
City{name=Duma, country=Syria, district=Damaskos, population=131158}
City{name=al-Salimiya, country=Kuwait, district=Hawalli, population=130215}
City{name=Aydin, country=Turkey, district=Aydin, population=128651}
City{name=Usak, country=Turkey, district=Usak, population=128162}
City{name=Ramat Gan, country=Israel, district=Tel Aviv, population=126900}
City{name=al-Tuqba, country=Saudi Arabia, district=al-Sharqiya, population=125700}
City{name=Edirne, country=Turkey, district=Edirne, population=123383}
City{name=Çorlu, country=Turkey, district=Tekirdag, population=123300}
City{name=Khan Yunis, country=Palestine, district=Khan Yunis, population=123175}
City{name=al-Mukalla, country=Yemen, district=Hadramawt, population=122400}
City{name=Isparta, country=Turkey, district=Isparta, population=121911}
City{name=Yanbu, country=Saudi Arabia, district=Medina, population=119800}
City{name=Hebron, country=Palestine, district=Hebron, population=119401}
City{name=Karabük, country=Turkey, district=Karabük, population=118285}
City{name=Kilis, country=Turkey, district=Kilis, population=118245}
City{name=Alanya, country=Turkey, district=Antalya, population=117300}
City{name=Baquba, country=Iraq, district=Diyala, population=114516}
