City{name=Simferopol, country=Ukraine, district=Krim, population=339000}
City{name=Vladimir, country=Russian Federation, district=Vladimir, population=337100}
City{name=Mahatškala, country=Russian Federation, district=Dagestan, population=332800}
City{name=Cluj-Napoca, country=Romania, district=Cluj, population=332498}
City{name=Galati, country=Romania, district=Galati, population=330276}
City{name=Tšerepovets, country=Russian Federation, district=Vologda, population=324400}
City{name=Timisoara, country=Romania, district=Timis, population=324304}
City{name=Ostrava, country=Czech Republic, district=Severní Morava, population=320041}
City{name=Saransk, country=Russian Federation, district=Mordva, population=314800}
City{name=Brasov, country=Romania, district=Brasov, population=314225}
City{name=Craiova, country=Romania, district=Dolj, population=313530}
City{name=Pultava [Poltava], country=Ukraine, district=Pultava, population=313000}
City{name=Tšernigiv, country=Ukraine, district=Tšernigiv, population=313000}
City{name=Tambov, country=Russian Federation, district=Tambov, population=312000}
City{name=Vladikavkaz, country=Russian Federation, district=North Ossetia-Alania, population=310100}
City{name=Tšita, country=Russian Federation, district=Tšita, population=309900}
City{name=Tšerkasy, country=Ukraine, district=Tšerkasy, population=309000}
City{name=Vologda, country=Russian Federation, district=Vologda, population=302500}
City{name=Grodno, country=Belarus, district=Grodno, population=302000}
City{name=Varna, country=Bulgaria, district=Varna, population=299801}
City{name=Veliki Novgorod, country=Russian Federation, district=Novgorod, population=299500}
City{name=Gorlivka, country=Ukraine, district=Donetsk, population=299000}
City{name=Zytomyr, country=Ukraine, district=Zytomyr, population=297000}
City{name=Sumy, country=Ukraine, district=Sumy, population=294000}
City{name=Komsomolsk-na-Amure, country=Russian Federation, district=Habarovsk, population=291600}
City{name=Kostroma, country=Russian Federation, district=Kostroma, population=288100}
City{name=Volzski, country=Russian Federation, district=Volgograd, population=286900}
City{name=Brest, country=Belarus, district=Brest, population=286000}
City{name=Taganrog, country=Russian Federation, district=Rostov-na-Donu, population=284400}
City{name=Bialystok, country=Poland, district=Podlaskie, population=283937}
City{name=Petroskoi, country=Russian Federation, district=Karjala, population=282100}
City{name=Bratsk, country=Russian Federation, district=Irkutsk, population=277600}
City{name=Dzerzinsk, country=Russian Federation, district=Nizni Novgorod, population=277100}
City{name=Surgut, country=Russian Federation, district=Hanti-Mansia, population=274900}
City{name=Orsk, country=Russian Federation, district=Orenburg, population=273900}
City{name=Dniprodzerzynsk, country=Ukraine, district=Dnipropetrovsk, population=270000}
City{name=Sterlitamak, country=Russian Federation, district=Baškortostan, population=265200}
City{name=Kirovograd, country=Ukraine, district=Kirovograd, population=265000}
City{name=Angarsk, country=Russian Federation, district=Irkutsk, population=264700}
City{name=Hmelnytskyi, country=Ukraine, district=Hmelnytskyi, population=262000}
City{name=Tšernivtsi, country=Ukraine, district=Tšernivtsi, population=259000}
City{name=Czestochowa, country=Poland, district=Slaskie, population=257812}
City{name=Gdynia, country=Poland, district=Pomorskie, population=253521}
City{name=Ploiesti, country=Romania, district=Prahova, population=251348}
City{name=Joškar-Ola, country=Russian Federation, district=Marinmaa, population=249200}
City{name=Rivne, country=Ukraine, district=Rivne, population=245000}
City{name=Sosnowiec, country=Poland, district=Slaskie, population=244102}
City{name=Košice, country=Slovakia, district=Východné Slovensko, population=241874}
City{name=Rybinsk, country=Russian Federation, district=Jaroslavl, population=239600}
City{name=Krementšuk, country=Ukraine, district=Pultava, population=239000}
City{name=Prokopjevsk, country=Russian Federation, district=Kemerovo, population=237300}
City{name=Ivano-Frankivsk, country=Ukraine, district=Ivano-Frankivsk, population=237000}
City{name=Ternopil, country=Ukraine, district=Ternopil, population=236000}
City{name=Niznevartovsk, country=Russian Federation, district=Hanti-Mansia, population=233900}
City{name=Braila, country=Romania, district=Braila, population=233756}
City{name=Naltšik, country=Russian Federation, district=Kabardi-Balkaria, population=233400}
City{name=Radom, country=Poland, district=Mazowieckie, population=232262}
City{name=Syktyvkar, country=Russian Federation, district=Komi, population=229700}
City{name=Severodvinsk, country=Russian Federation, district=Arkangeli, population=229300}
City{name=Bijsk, country=Russian Federation, district=Altai, population=225000}
City{name=Niznekamsk, country=Russian Federation, district=Tatarstan, population=223400}
City{name=Oradea, country=Romania, district=Bihor, population=222239}
City{name=Blagoveštšensk, country=Russian Federation, district=Amur, population=222000}
City{name=Šahty, country=Russian Federation, district=Rostov-na-Donu, population=221800}
City{name=Bobruisk, country=Belarus, district=Mogiljov, population=221000}
City{name=Lutsk, country=Ukraine, district=Volynia, population=217000}
City{name=Bila Tserkva, country=Ukraine, district=Kiova, population=215000}
City{name=Staryi Oskol, country=Russian Federation, district=Belgorod, population=213800}
City{name=Kielce, country=Poland, district=Swietokrzyskie, population=212383}
City{name=Gliwice, country=Poland, district=Slaskie, population=212164}
City{name=Bacau, country=Romania, district=Bacau, population=209235}
City{name=Zelenograd, country=Russian Federation, district=Moscow (City), population=207100}
City{name=Torun, country=Poland, district=Kujawsko-Pomorskie, population=206158}
City{name=Balakovo, country=Russian Federation, district=Saratov, population=206000}
City{name=Bytom, country=Poland, district=Slaskie, population=205560}
City{name=Debrecen, country=Hungary, district=Hajdú-Bihar, population=203648}
City{name=Novorossijsk, country=Russian Federation, district=Krasnodar, population=203300}
City{name=Pihkova, country=Russian Federation, district=Pihkova, population=201500}
City{name=Zabrze, country=Poland, district=Slaskie, population=200177}
