City{name=Arnhem, country=Netherlands, district=Gelderland, population=138020}
City{name=Darmstadt, country=Germany, district=Hessen, population=137776}
City{name=Paderborn, country=Germany, district=Nordrhein-Westfalen, population=137647}
City{name=Clermont-Ferrand, country=France, district=Auvergne, population=137140}
City{name=Zaanstad, country=Netherlands, district=Noord-Holland, population=135621}
City{name=Amiens, country=France, district=Picardie, population=135501}
City{name=Aix-en-Provence, country=France, district=Provence-Alpes-Côte, population=134222}
City{name=Limoges, country=France, district=Limousin, population=133968}
City{name=Bruxelles [Brussel], country=Belgium, district=Bryssel, population=133859}
City{name=Nîmes, country=France, district=Languedoc-Roussillon, population=133424}
City{name=Tours, country=France, district=Centre, population=132820}
City{name=´s-Hertogenbosch, country=Netherlands, district=Noord-Brabant, population=129170}
City{name=Potsdam, country=Germany, district=Brandenburg, population=128983}
City{name=Würzburg, country=Germany, district=Baijeri, population=127350}
City{name=Amersfoort, country=Netherlands, district=Utrecht, population=126270}
City{name=Regensburg, country=Germany, district=Baijeri, population=125236}
City{name=Recklinghausen, country=Germany, district=Nordrhein-Westfalen, population=125022}
City{name=Göttingen, country=Germany, district=Niedersachsen, population=124775}
City{name=Villeurbanne, country=France, district=Rhône-Alpes, population=124215}
City{name=Metz, country=France, district=Lorraine, population=123776}
City{name=Bremerhaven, country=Germany, district=Bremen, population=122735}
City{name=Bern, country=Switzerland, district=Bern, population=122700}
City{name=Maastricht, country=Netherlands, district=Limburg, population=122087}
City{name=Wolfsburg, country=Germany, district=Niedersachsen, population=121954}
City{name=Bottrop, country=Germany, district=Nordrhein-Westfalen, population=121097}
City{name=Remscheid, country=Germany, district=Nordrhein-Westfalen, population=120125}
City{name=Dordrecht, country=Netherlands, district=Zuid-Holland, population=119811}
City{name=Heilbronn, country=Germany, district=Baden-Württemberg, population=119526}
City{name=Besançon, country=France, district=Franche-Comté, population=117733}
City{name=Pforzheim, country=Germany, district=Baden-Württemberg, population=117227}
City{name=Leiden, country=Netherlands, district=Zuid-Holland, population=117196}
City{name=Offenbach am Main, country=Germany, district=Hessen, population=116627}
City{name=Brugge, country=Belgium, district=West Flanderi, population=116246}
City{name=Ulm, country=Germany, district=Baden-Württemberg, population=116103}
City{name=Ingolstadt, country=Germany, district=Baijeri, population=114826}
City{name=Gera, country=Germany, district=Thüringen, population=114718}
City{name=Lausanne, country=Switzerland, district=Vaud, population=114500}
City{name=Caen, country=France, district=Basse-Normandie, population=113987}
City{name=Orléans, country=France, district=Centre, population=113126}
City{name=Salzgitter, country=Germany, district=Niedersachsen, population=112934}
City{name=Innsbruck, country=Austria, district=Tiroli, population=111752}
City{name=Cottbus, country=Germany, district=Brandenburg, population=110894}
City{name=Haarlemmermeer, country=Netherlands, district=Noord-Holland, population=110722}
City{name=Mulhouse, country=France, district=Alsace, population=110359}
City{name=Reutlingen, country=Germany, district=Baden-Württemberg, population=110343}
City{name=Zoetermeer, country=Netherlands, district=Zuid-Holland, population=110214}
