City{name=Lapu-Lapu, country=Philippines, district=Central Visayas, population=217019}
City{name=Can Tho, country=Vietnam, district=Can Tho, population=215587}
City{name=Cam Pha, country=Vietnam, district=Quang Binh, population=209086}
City{name=San Pablo, country=Philippines, district=Southern Tagalog, population=207927}
City{name=Cilacap, country=Indonesia, district=Central Java, population=206900}
City{name=Cimanggis, country=Indonesia, district=West Java, population=205100}
City{name=Pematang Siantar, country=Indonesia, district=Sumatera Utara, population=203056}
City{name=Purwokerto, country=Indonesia, district=Central Java, population=202500}
City{name=Biñan, country=Philippines, district=Southern Tagalog, population=201186}
City{name=Kuantan, country=Malaysia, district=Pahang, population=199484}
City{name=Taytay, country=Philippines, district=Southern Tagalog, population=198183}
City{name=Lucena, country=Philippines, district=Southern Tagalog, population=196075}
City{name=Imus, country=Philippines, district=Southern Tagalog, population=195482}
City{name=Olongapo, country=Philippines, district=Central Luzon, population=194260}
City{name=Pegu (Bago), country=Myanmar, district=Pegu [Bago], population=190900}
City{name=Binangonan, country=Philippines, district=Southern Tagalog, population=187691}
City{name=Ciomas, country=Indonesia, district=West Java, population=187400}
City{name=Santa Rosa, country=Philippines, district=Southern Tagalog, population=185633}
City{name=Bassein (Pathein), country=Myanmar, district=Irrawaddy [Ayeyarwad, population=183900}
City{name=Taiping, country=Malaysia, district=Perak, population=183261}
City{name=Seremban, country=Malaysia, district=Negeri Sembilan, population=182869}
City{name=Nakhon Ratchasima, country=Thailand, district=Nakhon Ratchasima, population=181400}
City{name=Tasikmalaya, country=Indonesia, district=West Java, population=179800}
City{name=Tagum, country=Philippines, district=Southern Mindanao, population=179531}
City{name=Tacloban, country=Philippines, district=Eastern Visayas, population=178639}
City{name=Malolos, country=Philippines, district=Central Luzon, population=175291}
City{name=Nam Dinh, country=Vietnam, district=Nam Ha, population=171699}
City{name=Madiun, country=Indonesia, district=East Java, population=171532}
City{name=Chiang Mai, country=Thailand, district=Chiang Mai, population=171100}
City{name=Mabalacat, country=Philippines, district=Central Luzon, population=171045}
City{name=Cotabato, country=Philippines, district=Central Mindanao, population=163849}
City{name=Quy Nhon, country=Vietnam, district=Binh Dinh, population=163385}
City{name=Meycauayan, country=Philippines, district=Central Luzon, population=163037}
City{name=Puerto Princesa, country=Philippines, district=Southern Tagalog, population=161912}
City{name=Udon Thani, country=Thailand, district=Udon Thani, population=158100}
City{name=Legazpi, country=Philippines, district=Bicol, population=157010}
City{name=Silang, country=Philippines, district=Southern Tagalog, population=156137}
City{name=Ormoc, country=Philippines, district=Eastern Visayas, population=154297}
City{name=San Carlos, country=Philippines, district=Ilocos, population=154264}
City{name=Kabankalan, country=Philippines, district=Western Visayas, population=149769}
City{name=Hat Yai, country=Thailand, district=Songkhla, population=148632}
City{name=Talisay, country=Philippines, district=Central Visayas, population=148110}
City{name=Kuching, country=Malaysia, district=Sarawak, population=148059}
City{name=Valencia, country=Philippines, district=Northern Mindanao, population=147924}
City{name=Calbayog, country=Philippines, district=Eastern Visayas, population=147187}
City{name=Bengkulu, country=Indonesia, district=Bengkulu, population=146439}
City{name=Vung Tau, country=Vietnam, district=Ba Ria-Vung Tau, population=145145}
City{name=Karawang, country=Indonesia, district=West Java, population=145000}
City{name=Santa Maria, country=Philippines, district=Central Luzon, population=144282}
City{name=Banda Aceh, country=Indonesia, district=Aceh, population=143409}
City{name=Palu, country=Indonesia, district=Sulawesi Tengah, population=142800}
City{name=Pagadian, country=Philippines, district=Western Mindanao, population=142515}
City{name=Cadiz, country=Philippines, district=Western Visayas, population=141954}
City{name=Bago, country=Philippines, district=Western Visayas, population=141721}
City{name=Toledo, country=Philippines, district=Central Visayas, population=141174}
City{name=Rach Gia, country=Vietnam, district=Kien Giang, population=141132}
City{name=Monywa, country=Myanmar, district=Sagaing, population=138600}
City{name=Naga, country=Philippines, district=Bicol, population=137810}
City{name=Sittwe (Akyab), country=Myanmar, district=Rakhine, population=137600}
City{name=San Mateo, country=Philippines, district=Southern Tagalog, population=135603}
City{name=Pasuruan, country=Indonesia, district=East Java, population=134019}
City{name=Panabo, country=Philippines, district=Southern Mindanao, population=133950}
City{name=Koronadal, country=Philippines, district=Southern Mindanao, population=133786}
City{name=Long Xuyen, country=Vietnam, district=An Giang, population=132681}
City{name=Taunggyi (Taunggye), country=Myanmar, district=Shan, population=131500}
City{name=Marawi, country=Philippines, district=Central Mindanao, population=131090}
City{name=Dagupan, country=Philippines, district=Ilocos, population=130328}
City{name=Battambang, country=Cambodia, district=Battambang, population=129800}
City{name=Sagay, country=Philippines, district=Western Visayas, population=129765}
City{name=Meikhtila, country=Myanmar, district=Mandalay, population=129700}
City{name=Kupang, country=Indonesia, district=Nusa Tenggara Timur, population=129300}
City{name=Tebing Tinggi, country=Indonesia, district=Sumatera Utara, population=129300}
City{name=Percut Sei Tuan, country=Indonesia, district=Sumatera Utara, population=129000}
City{name=Thai Nguyen, country=Vietnam, district=Bac Thai, population=127643}
City{name=Hong Gai, country=Vietnam, district=Quang Ninh, population=127484}
City{name=Binjai, country=Indonesia, district=Sumatera Utara, population=127222}
City{name=Khon Kaen, country=Thailand, district=Khon Kaen, population=126500}
City{name=Sibu, country=Malaysia, district=Sarawak, population=126381}
City{name=Roxas, country=Philippines, district=Western Visayas, population=126352}
City{name=Pak Kret, country=Thailand, district=Nonthaburi, population=126055}
City{name=Sandakan, country=Malaysia, district=Sabah, population=125841}
City{name=Sukabumi, country=Indonesia, district=West Java, population=125766}
City{name=Lubao, country=Philippines, district=Central Luzon, population=125699}
City{name=Digos, country=Philippines, district=Southern Mindanao, population=125171}
City{name=Alor Setar, country=Malaysia, district=Kedah, population=124412}
City{name=Waru, country=Indonesia, district=East Java, population=124300}
City{name=Selayang Baru, country=Malaysia, district=Selangor, population=124228}
City{name=Pangkal Pinang, country=Indonesia, district=Sumatera Selatan, population=124000}
City{name=San Miguel, country=Philippines, district=Central Luzon, population=123824}
City{name=Magelang, country=Indonesia, district=Central Java, population=123800}
City{name=Nakhon Sawan, country=Thailand, district=Nakhon Sawan, population=123800}
City{name=Malaybalay, country=Philippines, district=Northern Mindanao, population=123672}
City{name=Mergui (Myeik), country=Myanmar, district=Tenasserim [Tanintha, population=122700}
City{name=Blitar, country=Indonesia, district=East Java, population=122600}
City{name=Serang, country=Indonesia, district=West Java, population=122400}
City{name=Probolinggo, country=Indonesia, district=East Java, population=120770}
City{name=Tuguegarao, country=Philippines, district=Cagayan Valley, population=120645}
