City{name=Kataka (Cuttack), country=India, district=Orissa, population=403418}
City{name=Bahawalpur, country=Pakistan, district=Punjab, population=403408}
City{name=Ajmer, country=India, district=Rajasthan, population=402700}
City{name=Bhavnagar, country=India, district=Gujarat, population=402338}
City{name=Hamadan, country=Iran, district=Hamadan, population=401281}
City{name=Tiruchirapalli, country=India, district=Tamil Nadu, population=387223}
City{name=Bhilai, country=India, district=Chhatisgarh, population=386159}
City{name=Kerman, country=Iran, district=Kerman, population=384991}
City{name=Arak, country=Iran, district=Markazi, population=380755}
City{name=Bhiwandi, country=India, district=Maharashtra, population=379070}
City{name=Saharanpur, country=India, district=Uttar Pradesh, population=374945}
City{name=Namangan, country=Uzbekistan, district=Namangan, population=370500}
City{name=Ulhasnagar, country=India, district=Maharashtra, population=369077}
City{name=Salem, country=India, district=Tamil Nadu, population=366712}
City{name=Ujjain, country=India, district=Madhya Pradesh, population=362266}
City{name=Samarkand, country=Uzbekistan, district=Samarkand, population=361800}
City{name=Shymkent, country=Kazakstan, district=South Kazakstan, population=360100}
City{name=Malegaon, country=India, district=Maharashtra, population=342595}
City{name=Jamnagar, country=India, district=Gujarat, population=341637}
City{name=Ardebil, country=Iran, district=Ardebil, population=340386}
City{name=Bokaro Steel City, country=India, district=Jharkhand, population=333683}
City{name=Taraz, country=Kazakstan, district=Taraz, population=330100}
City{name=Sukkur, country=Pakistan, district=Sindh, population=329176}
City{name=Akola, country=India, district=Maharashtra, population=328034}
City{name=Yazd, country=Iran, district=Yazd, population=326776}
City{name=Belgaum, country=India, district=Karnataka, population=326399}
City{name=Rajahmundry, country=India, district=Andhra Pradesh, population=324851}
City{name=Andijon, country=Uzbekistan, district=Andijon, population=318600}
City{name=Nellore, country=India, district=Andhra Pradesh, population=316606}
City{name=Astana, country=Kazakstan, district=Astana, population=311200}
City{name=Öskemen, country=Kazakstan, district=East Kazakstan, population=311000}
City{name=Udaipur, country=India, district=Rajasthan, population=308571}
City{name=New Bombay, country=India, district=Maharashtra, population=307297}
City{name=Bhatpara, country=India, district=West Bengali, population=304952}
City{name=Gulbarga, country=India, district=Karnataka, population=304099}
City{name=New Delhi, country=India, district=Delhi, population=301297}
City{name=Jhansi, country=India, district=Uttar Pradesh, population=300850}
City{name=Pavlodar, country=Kazakstan, district=Pavlodar, population=300500}
City{name=Rajshahi, country=Bangladesh, district=Rajshahi, population=294056}
City{name=Jhang, country=Pakistan, district=Punjab, population=292214}
City{name=Gaya, country=India, district=Bihar, population=291675}
City{name=Qazvin, country=Iran, district=Qazvin, population=291117}
City{name=Zanjan, country=Iran, district=Zanjan, population=286295}
City{name=Kakinada, country=India, district=Andhra Pradesh, population=279980}
City{name=Dhule (Dhulia), country=India, district=Maharashtra, population=278317}
City{name=Sanandaj, country=Iran, district=Kordestan, population=277808}
City{name=Panihati, country=India, district=West Bengali, population=275990}
City{name=Nanded (Nander), country=India, district=Maharashtra, population=275083}
City{name=Bandar-e-Abbas, country=Iran, district=Hormozgan, population=273578}
City{name=Mangalore, country=India, district=Karnataka, population=273304}
City{name=Khorramabad, country=Iran, district=Lorestan, population=272815}
City{name=Sheikhupura, country=Pakistan, district=Punjab, population=271875}
City{name=Larkana, country=Pakistan, district=Sindh, population=270366}
City{name=Dehra Dun, country=India, district=Uttaranchal, population=270159}
City{name=Semey, country=Kazakstan, district=East Kazakstan, population=269600}
City{name=Kamarhati, country=India, district=West Bengali, population=266889}
City{name=Davangere, country=India, district=Karnataka, population=266082}
City{name=Eslamshahr, country=Iran, district=Teheran, population=265450}
City{name=Asansol, country=India, district=West Bengali, population=262188}
City{name=Bhagalpur, country=India, district=Bihar, population=253225}
City{name=Aqtöbe, country=Kazakstan, district=Aqtöbe, population=253100}
City{name=Gujrat, country=Pakistan, district=Punjab, population=250121}
City{name=Bellary, country=India, district=Karnataka, population=245391}
City{name=Barddhaman (Burdwan), country=India, district=West Bengali, population=245079}
City{name=Mardan, country=Pakistan, district=Nothwest Border Prov, population=244511}
City{name=Rampur, country=India, district=Uttar Pradesh, population=243742}
City{name=Jalgaon, country=India, district=Maharashtra, population=242193}
City{name=Kasur, country=Pakistan, district=Punjab, population=241649}
City{name=Muzaffarpur, country=India, district=Bihar, population=241107}
City{name=Nizamabad, country=India, district=Andhra Pradesh, population=241034}
